taxon_name,name_aligned,source,taxon_status,taxonomicSourceID,name_aligned_family,name_aligned_order
Abarema agropecuaria,Abarema agropecuaria,gbif,Accepted,GBIF:2977895,Fabaceae,Fabales
Abuta pahnii,Abuta pahnii,col,Accepted,COL:8MVM,Menispermaceae,Ranunculales
Adelobotrys rachidotrichia,Adelobotrys rachidotrichia,gbif,Accepted,GBIF:7910512,Melastomataceae,Myrtales
Adenocalymma neoflavidum,Adenocalymma neoflavidum,col,Accepted,COL:99VWK,Bignoniaceae,Lamiales
Adenophaedra grandiflora,Adenophaedra grandiflora,gbif,Accepted,GBIF:7658899,Euphorbiaceae,Malpighiales
Amasonia lasiocaulis,Amasonia lasiocaulis,gbif,Accepted,GBIF:7306851,Lamiaceae,Lamiales
Amphilophium laevis,Amphilophium laevis,col,Accepted,COL:99KSC,Bignoniaceae,Lamiales
Aniba rosaeodora,Aniba rosaeodora,col,Accepted,COL:5V2DH,Lauraceae,Laurales
Anthurium ernestii,Anthurium ernestii,gbif,Accepted,GBIF:2872717,Araceae,Alismatales
Austroeupatorium inulaefolium,Austroeupatorium inulaefolium,gbif,Accepted,GBIF:5831200,Asteraceae,Asterales
Begonia perdusenii,Begonia perdusenii,col,Accepted,COL:7SGXG,Begoniaceae,Cucurbitales
Bignonia sciruipabula,Bignonia sciruipabula,col,Accepted,COL:9B395,Bignoniaceae,Lamiales
Blastemanthus fragilicarpus,Blastemanthus fragilicarpus,gbif,Accepted,GBIF:7388075,Ochnaceae,Malpighiales
Blechnum confluens,Blechnum confluens,col,Accepted,COL:M435,Aspleniaceae,Aspleniineae
Blechnum herminieri,Blechnum herminieri,gbif,Accepted,GBIF:4078813,Aspleniaceae,Aspleniineae
Bougainvillea buttiana,Bougainvillea buttiana,col,Accepted,COL:MR3G,Nyctaginaceae,Caryophyllales
Campnosperma gummifera,Campnosperma gummifera,col,Accepted,COL:QCW4,Anacardiaceae,Sapindales
Canna generalis,Canna hybrida,col,Synonym,COL:8XW6L,Cannaceae,Zingiberales
Cayaponia prunifera,Cayaponia prunifera,col,Accepted,COL:5XGSL,Cucurbitaceae,Cucurbitales
Cestrum strigillatum,Cestrum strigillatum,col,Accepted,COL:T5VY,Solanaceae,Solanales
Cheiloclinium brevipetiolatum,Cheiloclinium brevipetiolatum,col,Accepted,COL:TRVP,Celastraceae,Celastrales
Citrus aurantiifolia,Citrus aurantiifolia,col,Accepted,COL:VMN5,Rutaceae,Sapindales
Citrus aurantium,Citrus aurantium,col,Accepted,COL:VMN6,Rutaceae,Sapindales
Citrus limon,Citrus limon,col,Accepted,COL:7SBY3,Rutaceae,Sapindales
Clusia froesii,Clusia froesii,gbif,Accepted,GBIF:11186633,Clusiaceae,Malpighiales
Clusia spathulaefolia,Clusia spathulaefolia,gbif,Accepted,GBIF:7602657,Clusiaceae,Malpighiales
