order,family
Amborellales,Amborellaceae
Nymphaeales,Hydatellaceae
Nymphaeales,Cabombaceae
Nymphaeales,Nymphaeaceae
Austrobaileyales,Austrobaileyaceae
Austrobaileyales,Trimeniaceae
Austrobaileyales,Schisandraceae
Canellales,Canellaceae
Canellales,Winteraceae
Piperales,Saururaceae
Piperales,Piperaceae
Piperales,Aristolochiaceae
Piperales,Asaraceae
Piperales,Hydnoraceae
Piperales,Lactoridaceae
Magnoliales,Myristicaceae
Magnoliales,Magnoliaceae
Magnoliales,Degeneriaceae
Magnoliales,Himantandraceae
Magnoliales,Eupomatiaceae
Magnoliales,Annonaceae
Laurales,Calycanthaceae
Laurales,Siparunaceae
Laurales,Gomortegaceae
Laurales,Atherospermataceae
Laurales,Hernandiaceae
Laurales,Monimiaceae
Laurales,Lauraceae
Chloranthales,Chloranthaceae
Acorales,Acoraceae
Alismatales,Araceae
Alismatales,Tofieldiaceae
Alismatales,Alismataceae
Alismatales,Butomaceae
Alismatales,Hydrocharitaceae
Alismatales,Scheuchzeriaceae
Alismatales,Aponogetonaceae
Alismatales,Juncaginaceae
Alismatales,Maundiaceae
Alismatales,Zosteraceae
Alismatales,Potamogetonaceae
Alismatales,Posidoniaceae
Alismatales,Ruppiaceae
Alismatales,Cymodoceaceae
Petrosaviales,Petrosaviaceae
Dioscoreales,Nartheciaceae
Dioscoreales,Dioscoreaceae
Dioscoreales,Burmanniaceae
Dioscoreales,Taccaceae
Dioscoreales,Thismiaceae
Pandanales,Triuridaceae
Pandanales,Velloziaceae
Pandanales,Stemonaceae
Pandanales,Cyclanthaceae
Pandanales,Pandanaceae
Liliales,Campynemataceae
Liliales,Corsiaceae
Liliales,Melanthiaceae
Liliales,Petermanniaceae
Liliales,Alstroemeriaceae
Liliales,Colchicaceae
Liliales,Philesiaceae
Liliales,Ripogonaceae
Liliales,Smilacaceae
Liliales,Liliaceae
Asparagales,Orchidaceae
Asparagales,Boryaceae
Asparagales,Blandfordiaceae
Asparagales,Asteliaceae
Asparagales,Lanariaceae
Asparagales,Hypoxidaceae
Asparagales,Doryanthaceae
Asparagales,Tecophilaeaceae
Asparagales,Ixioliriaceae
Asparagales,Iridaceae
Asparagales,Xeronemataceae
Asparagales,Asphodelaceae
Asparagales,Amaryllidaceae
Asparagales,Asparagaceae
Arecales,Dasypogonaceae
Arecales,Arecaceae
Commelinales,Hanguanaceae
Commelinales,Commelinaceae
Commelinales,Philydraceae
Commelinales,Pontederiaceae
Commelinales,Haemodoraceae
Zingiberales,Strelitziaceae
Zingiberales,Lowiaceae
Zingiberales,Heliconiaceae
Zingiberales,Musaceae
Zingiberales,Cannaceae
Zingiberales,Marantaceae
Zingiberales,Costaceae
Zingiberales,Zingiberaceae
Poales,Typhaceae
Poales,Bromeliaceae
Poales,Rapateaceae
Poales,Xyridaceae
Poales,Eriocaulaceae
Poales,Mayacaceae
Poales,Thurniaceae
Poales,Juncaceae
Poales,Cyperaceae
Poales,Restionaceae
Poales,Anarthriaceae
Poales,Centrolepidaceae
Poales,Flagellariaceae
Poales,Joinvilleaceae
Poales,Ecdeiocoleaceae
Poales,Poaceae
Poales,Gramineae
Ceratophyllales,Ceratophyllaceae
Ranunculales,Eupteleaceae
Ranunculales,Papaveraceae
Ranunculales,Circaeasteraceae
Ranunculales,Lardizabalaceae
Ranunculales,Menispermaceae
Ranunculales,Berberidaceae
Ranunculales,Ranunculaceae
Proteales,Sabiaceae
Proteales,Nelumbonaceae
Proteales,Platanaceae
Proteales,Proteaceae
Trochodendrales,Trochodendraceae
Buxales,Buxaceae
Buxales,Haptanthaceae
Gunnerales,Myrothamnaceae
Gunnerales,Gunneraceae
Dilleniales,Dilleniaceae
Saxifragales,Peridiscaceae
Saxifragales,Paeoniaceae
Saxifragales,Altingiaceae
Saxifragales,Hamamelidaceae
Saxifragales,Cercidiphyllaceae
Saxifragales,Daphniphyllaceae
Saxifragales,Iteaceae
Saxifragales,Grossulariaceae
Saxifragales,Saxifragaceae
Saxifragales,Crassulaceae
Saxifragales,Aphanopetalaceae
Saxifragales,Tetracarpaeaceae
Saxifragales,Penthoraceae
Saxifragales,Haloragaceae
Saxifragales,Cynomoriaceae
Vitales,Vitaceae
Zygophyllales,Krameriaceae
Zygophyllales,Zygophyllaceae
Fabales,Quillajaceae
Fabales,Leguminosae
Fabales,Fabaceae
Fabales,Surianaceae
Fabales,Polygalaceae
Rosales,Rosaceae
Rosales,Barbeyaceae
Rosales,Dirachmaceae
Rosales,Elaeagnaceae
Rosales,Rhamnaceae
Rosales,Ulmaceae
Rosales,Cannabaceae
Rosales,Moraceae
Rosales,Urticaceae
Fagales,Nothofagaceae
Fagales,Fagaceae
Fagales,Myricaceae
Fagales,Juglandaceae
Fagales,Casuarinaceae
Fagales,Ticodendraceae
Fagales,Betulaceae
Cucurbitales,Apodanthaceae
Cucurbitales,Anisophylleaceae
Cucurbitales,Corynocarpaceae
Cucurbitales,Coriariaceae
Cucurbitales,Cucurbitaceae
Cucurbitales,Tetramelaceae
Cucurbitales,Datiscaceae
Cucurbitales,Begoniaceae
Celastrales,Lepidobotryaceae
Celastrales,Celastraceae
Celastrales,Parnassiaceae
Oxalidales,Huaceae
Oxalidales,Connaraceae
Oxalidales,Oxalidaceae
Oxalidales,Cunoniaceae
Oxalidales,Elaeocarpaceae
Oxalidales,Cephalotaceae
Oxalidales,Brunelliaceae
Malpighiales,Pandaceae
Malpighiales,Irvingiaceae
Malpighiales,Allantospermum
Malpighiales,Ctenolophonaceae
Malpighiales,Rhizophoraceae
Malpighiales,Erythroxylaceae
Malpighiales,Ochnaceae
Malpighiales,Bonnetiaceae
Malpighiales,Clusiaceae
Malpighiales,Guttiferae
Malpighiales,Calophyllaceae
Malpighiales,Podostemaceae
Malpighiales,Hypericaceae
Malpighiales,Caryocaraceae
Malpighiales,Lophopyxidaceae
Malpighiales,Putranjivaceae
Malpighiales,Centroplacaceae
Malpighiales,Elatinaceae
Malpighiales,Malpighiaceae
Malpighiales,Balanopaceae
Malpighiales,Trigoniaceae
Malpighiales,Dichapetalaceae
Malpighiales,Euphroniaceae
Malpighiales,Chrysobalanaceae
Malpighiales,Humiriaceae
Malpighiales,Achariaceae
Malpighiales,Violaceae
Malpighiales,Goupiaceae
Malpighiales,Passifloraceae
Malpighiales,Lacistemataceae
Malpighiales,Salicaceae
Malpighiales,Peraceae
Malpighiales,Rafflesiaceae
Malpighiales,Euphorbiaceae
Malpighiales,Linaceae
Malpighiales,Ixonanthaceae
Malpighiales,Picrodendraceae
Malpighiales,Phyllanthaceae
Geraniales,Geraniaceae
Geraniales,Francoaceae
Geraniales,Bersamaceae
Geraniales,Greyiaceae
Geraniales,Ledocarpaceae
Geraniales,Melianthaceae
Geraniales,Rhynchothecaceae
Geraniales,Vivianiaceae
Myrtales,Combretaceae
Myrtales,Lythraceae
Myrtales,Onagraceae
Myrtales,Vochysiaceae
Myrtales,Myrtaceae
Myrtales,Melastomataceae
Myrtales,Crypteroniaceae
Myrtales,Alzateaceae
Myrtales,Penaeaceae
Crossosomatales,Aphloiaceae
Crossosomatales,Geissolomataceae
Crossosomatales,Strasburgeriaceae
Crossosomatales,Staphyleaceae
Crossosomatales,Guamatelaceae
Crossosomatales,Stachyuraceae
Crossosomatales,Crossosomataceae
Picramniales,Picramniaceae
Huerteales,Gerrardinaceae
Huerteales,Petenaeaceae
Huerteales,Tapisciaceae
Huerteales,Dipentodontaceae
Sapindales,Biebersteiniaceae
Sapindales,Nitrariaceae
Sapindales,Kirkiaceae
Sapindales,Burseraceae
Sapindales,Anacardiaceae
Sapindales,Sapindaceae
Sapindales,Xanthocerataceae
Sapindales,Xanthoceraceae
Sapindales,Rutaceae
Sapindales,Simaroubaceae
Sapindales,Meliaceae
Malvales,Cytinaceae
Malvales,Muntingiaceae
Malvales,Neuradaceae
Malvales,Malvaceae
Malvales,Sphaerosepalaceae
Malvales,Thymelaeaceae
Malvales,Bixaceae
Malvales,Cistaceae
Malvales,Pakaraimaea
Malvales,Sarcolaenaceae
Malvales,Dipterocarpaceae
Brassicales,Akaniaceae
Brassicales,Tropaeolaceae
Brassicales,Moringaceae
Brassicales,Caricaceae
Brassicales,Limnanthaceae
Brassicales,Setchellanthaceae
Brassicales,Koeberliniaceae
Brassicales,Tiganophytaceae
Brassicales,Bataceae
Brassicales,Salvadoraceae
Brassicales,Emblingiaceae
Brassicales,Tovariaceae
Brassicales,Pentadiplandraceae
Brassicales,Gyrostemonaceae
Brassicales,Resedaceae
Brassicales,Borthwickiaceae
Brassicales,Stixidaceae
Brassicales,Stixaceae
Brassicales,Capparaceae
Brassicales,Cleomaceae
Brassicales,Brassicaceae
Brassicales,Cruciferae
Berberidopsidales,Aextoxicaceae
Berberidopsidales,Berberidopsidaceae
Santalales,Olacaceae
Santalales,Aptandraceae
Santalales,Coulaceae
Santalales,Erythropalaceae
Santalales,Octoknemaceae
Santalales,Strombosiaceae
Santalales,Ximeniaceae
Santalales,Opiliaceae
Santalales,Balanophoraceae
Santalales,Santalaceae
Santalales,Mystropetalaceae
Santalales,Misodendraceae
Santalales,Schoepfiaceae
Santalales,Loranthaceae
Caryophyllales,Frankeniaceae
Caryophyllales,Tamaricaceae
Caryophyllales,Plumbaginaceae
Caryophyllales,Polygonaceae
Caryophyllales,Droseraceae
Caryophyllales,Nepenthaceae
Caryophyllales,Drosophyllaceae
Caryophyllales,Dioncophyllaceae
Caryophyllales,Ancistrocladaceae
Caryophyllales,Rhabdodendraceae
Caryophyllales,Simmondsiaceae
Caryophyllales,Physenaceae
Caryophyllales,Asteropeiaceae
Caryophyllales,Macarthuriaceae
Caryophyllales,Microteaceae
Caryophyllales,Caryophyllaceae
Caryophyllales,Achatocarpaceae
Caryophyllales,Amaranthaceae
Caryophyllales,Stegnospermataceae
Caryophyllales,Limeaceae
Caryophyllales,Lophiocarpaceae
Caryophyllales,Kewaceae
Caryophyllales,Barbeuiaceae
Caryophyllales,Gisekiaceae
Caryophyllales,Aizoaceae
Caryophyllales,Phytolaccaceae
Caryophyllales,Petiveriaceae
Caryophyllales,Agdestidaceae
Caryophyllales,Sarcobataceae
Caryophyllales,Nyctaginaceae
Caryophyllales,Molluginaceae
Caryophyllales,Montiaceae
Caryophyllales,Didiereaceae
Caryophyllales,Basellaceae
Caryophyllales,Halophytaceae
Caryophyllales,Talinaceae
Caryophyllales,Portulacaceae
Caryophyllales,Anacampserotaceae
Caryophyllales,Cactaceae
Cornales,Nyssaceae
Cornales,Hydrostachyaceae
Cornales,Hydrangeaceae
Cornales,Loasaceae
Cornales,Curtisiaceae
Cornales,Grubbiaceae
Cornales,Cornaceae
Ericales,Balsaminaceae
Ericales,Marcgraviaceae
Ericales,Tetrameristaceae
Ericales,Fouquieriaceae
Ericales,Polemoniaceae
Ericales,Lecythidaceae
Ericales,Sladeniaceae
Ericales,Pentaphylacaceae
Ericales,Sapotaceae
Ericales,Ebenaceae
Ericales,Primulaceae
Ericales,Theaceae
Ericales,Symplocaceae
Ericales,Diapensiaceae
Ericales,Styracaceae
Ericales,Sarraceniaceae
Ericales,Roridulaceae
Ericales,Actinidiaceae
Ericales,Clethraceae
Ericales,Cyrillaceae
Ericales,Ericaceae
Ericales,Mitrastemonaceae
Oncothecales,Oncothecaceae
Icacinales,Icacinaceae
Metteniusales,Metteniusaceae
Garryales,Eucommiaceae
Garryales,Garryaceae
Gentianales,Rubiaceae
Gentianales,Gentianaceae
Gentianales,Loganiaceae
Gentianales,Gelsemiaceae
Gentianales,Pteleocarpaceae
Gentianales,Apocynaceae
Boraginales,Boraginaceae
Boraginales,Codonaceae
Vahliales,Vahliaceae
Solanales,Convolvulaceae
Solanales,Solanaceae
Solanales,Montiniaceae
Solanales,Sphenocleaceae
Solanales,Hydroleaceae
Lamiales,Plocospermataceae
Lamiales,Carlemanniaceae
Lamiales,Oleaceae
Lamiales,Tetrachondraceae
Lamiales,Peltantheraceae
Lamiales,Calceolariaceae
Lamiales,Gesneriaceae
Lamiales,Plantaginaceae
Lamiales,Scrophulariaceae
Lamiales,Stilbaceae
Lamiales,Linderniaceae
Lamiales,Byblidaceae
Lamiales,Martyniaceae
Lamiales,Pedaliaceae
Lamiales,Acanthaceae
Lamiales,Bignoniaceae
Lamiales,Lentibulariaceae
Lamiales,Schlegeliaceae
Lamiales,Thomandersiaceae
Lamiales,Verbenaceae
Lamiales,Lamiaceae
Lamiales,Labiatae
Lamiales,Mazaceae
Lamiales,Phrymaceae
Lamiales,Paulowniaceae
Lamiales,Lindenbergiaceae
Lamiales,Rehmanniaceae
Lamiales,Orobanchaceae
Lamiales,Wightiaceae
Cardiopteridales,Stemonuraceae
Cardiopteridales,Cardiopteridaceae
Aquifoliales,Phyllonomaceae
Aquifoliales,Helwingiaceae
Aquifoliales,Aquifoliaceae
Asterales,Rousseaceae
Asterales,Campanulaceae
Asterales,Pentaphragmataceae
Asterales,Stylidiaceae
Asterales,Alseuosmiaceae
Asterales,Phellinaceae
Asterales,Argophyllaceae
Asterales,Menyanthaceae
Asterales,Goodeniaceae
Asterales,Calyceraceae
Asterales,Asteraceae
Asterales,Compositae
Escalloniales,Escalloniaceae
Escalloniales,Columelliaceae
Bruniales,Bruniaceae
Paracryphiales,Paracryphiaceae
Dipsacales,Adoxaceae
Dipsacales,Viburnaceae
Dipsacales,Caprifoliaceae
Apiales,Pennantiaceae
Apiales,Torricelliaceae
Apiales,Griseliniaceae
Apiales,Pittosporaceae
Apiales,Araliaceae
Apiales,Myodocarpaceae
Apiales,Apiaceae
Apiales,Umbelliferae
