order,family
Lycopodiales,Lycopodiaceae
Isoetales,Isoetaceae
Selaginellales,Selaginellaceae
Equisetales,Equisetaceae
Psilotales,Psilotaceae
Ophioglossales,Ophioglossaceae
Marattiales,Marattiaceae
Osmundales,Osmundaceae
Hymenophyllales,Hymenophyllaceae
Gleicheniales,Matoniaceae
Gleicheniales,Dipteridaceae
Gleicheniales,Gleicheniaceae
Schizaeales,Lygodiaceae
Schizaeales,Schizaeaceae
Schizaeales,Anemiaceae
Salviniales,Salviniaceae
Salviniales,Marsileaceae
Cyatheales,Thyrsopteridaceae
Cyatheales,Loxsomataceae
Cyatheales,Culcitaceae
Cyatheales,Plagiogyriaceae
Cyatheales,Cibotiaceae
Cyatheales,Metaxyaceae
Cyatheales,Dicksoniaceae
Cyatheales,Cyatheaceae
Saccolomatineae,Saccolomataceae
Lindsaeineae,Cystidiaceae
Lindsaeineae,Lonchitidaceae
Lindsaeineae,Lindsaeaceae
Pteridineae,Pteridaceae
Dennstaedtiineae,Dennstaedtiaceae
Aspleniineae,Cystopteridaceae
Aspleniineae,Rhachidosoraceae
Aspleniineae,Diplaziopsidaceae
Aspleniineae,Desmophlebiaceae
Aspleniineae,Hemidictyaceae
Aspleniineae,Aspleniaceae
Aspleniineae,Woodsiaceae
Aspleniineae,Onocleaceae
Aspleniineae,Blechnaceae
Aspleniineae,Athyriaceae
Aspleniineae,Thelypteridaceae
Polypodiineae,Didymochlaenaceae
Polypodiineae,Hypodematiaceae
Polypodiineae,Dryopteridaceae
Polypodiineae,Nephrolepidaceae
Polypodiineae,Lomariopsidaceae
Polypodiineae,Tectariaceae
Polypodiineae,Oleandraceae
Polypodiineae,Davalliaceae
Polypodiineae,Polypodiaceae
