"","db","query","phylum","class","order","family","genus","species","ncbi"
"1","itis","Abarema adenophora",NA,NA,NA,NA,NA,NA,NA
"2","itis","Abarema agropecuaria",NA,NA,NA,NA,NA,NA,NA
"3","itis","Abarema laeta",NA,NA,NA,NA,NA,NA,NA
"4","itis","Abarema levelii",NA,NA,NA,NA,NA,NA,NA
"5","itis","Abelmoschus esculentus",NA,"Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus esculentus",NA
"6","itis","Abelmoschus moschatus",NA,"Magnoliopsida","Malvales","Malvaceae","Abelmoschus","Abelmoschus moschatus",NA
"7","itis","Abolboda americana",NA,NA,NA,NA,NA,NA,NA
"8","itis","Abolboda ciliata",NA,NA,NA,NA,NA,NA,NA
"9","itis","Abolboda dunstervillei",NA,NA,NA,NA,NA,NA,NA
"10","itis","Abolboda grandis",NA,NA,NA,NA,NA,NA,NA
"11","itis","Abolboda granularis",NA,NA,NA,NA,NA,NA,NA
"12","itis","Abolboda killipii",NA,NA,NA,NA,NA,NA,NA
"13","itis","Abolboda linearifolia",NA,NA,NA,NA,NA,NA,NA
"14","itis","Abolboda neblinae",NA,NA,NA,NA,NA,NA,NA
"15","itis","Abolboda paniculata",NA,NA,NA,NA,NA,NA,NA
"16","itis","Abolboda poarchon",NA,NA,NA,NA,NA,NA,NA
"17","itis","Abrodictyum cellulosum",NA,NA,NA,NA,NA,NA,NA
"18","itis","Abrodictyum rigidum",NA,"Polypodiopsida","Hymenophyllales","Hymenophyllaceae","Abrodictyum","Abrodictyum rigidum",NA
"19","itis","Abrodictyum sprucei",NA,NA,NA,NA,NA,NA,NA
"20","itis","Abrus melanospermus",NA,NA,NA,NA,NA,NA,NA
"21","itis","Abrus precatorius",NA,"Magnoliopsida","Fabales","Fabaceae","Abrus","Abrus precatorius",NA
"22","itis","Abuta brevifolia",NA,NA,NA,NA,NA,NA,NA
"23","itis","Abuta bullata",NA,NA,NA,NA,NA,NA,NA
"24","itis","Abuta candollei",NA,NA,NA,NA,NA,NA,NA
"25","itis","Abuta grandifolia",NA,NA,NA,NA,NA,NA,NA
"26","itis","Abuta grisebachii",NA,NA,NA,NA,NA,NA,NA
"27","itis","Abuta imene",NA,NA,NA,NA,NA,NA,NA
"28","itis","Abuta mycetandra",NA,NA,NA,NA,NA,NA,NA
"29","itis","Abuta obovata",NA,NA,NA,NA,NA,NA,NA
"30","itis","Abuta pahni",NA,NA,NA,NA,NA,NA,NA
"31","itis","Abuta pahnii",NA,NA,NA,NA,NA,NA,NA
"32","itis","Abuta panurensis",NA,NA,NA,NA,NA,NA,NA
"33","itis","Abuta rufescens",NA,NA,NA,NA,NA,NA,NA
"34","itis","Abuta sandwithiana",NA,NA,NA,NA,NA,NA,NA
"35","itis","Abuta selloana",NA,NA,NA,NA,NA,NA,NA
"36","itis","Abuta solimoesensis",NA,NA,NA,NA,NA,NA,NA
"37","itis","Abuta steyermarkii",NA,NA,NA,NA,NA,NA,NA
"38","itis","Abuta velutina",NA,NA,NA,NA,NA,NA,NA
"39","itis","Abutilon umbelliflorum",NA,NA,NA,NA,NA,NA,NA
"40","itis","Acacia aulacocarpa",NA,NA,NA,NA,NA,NA,NA
"41","itis","Acalypha acuminata",NA,NA,NA,NA,NA,NA,NA
